 1.0000,In the beginning God created the heaven and the earth.,In the beginning God created the heaven and the earth.
 1.0000,"Now therefore be not grieved, nor angry with yourselves, that ye sold me hither: for God did send me before you to preserve life.","Now therefore be not grieved, nor angry with yourselves, that ye sold me hither: for God did send me before you to preserve life."
 1.0000,"For these two years hath the famine been in the land: and yet there are five years, in the which there shall neither be earing nor harvest.","For these two years hath the famine been in the land: and yet there are five years, in the which there shall neither be earing nor harvest."
 1.0000,"And God sent me before you to preserve you a posterity in the earth, and to save your lives by a great deliverance.","And God sent me before you to preserve you a posterity in the earth, and to save your lives by a great deliverance."
 1.0000,"So now it was not you that sent me hither, but God: and he hath made me a father to Pharaoh, and lord of all his house, and a ruler throughout all the land of Egypt.","So now it was not you that sent me hither, but God: and he hath made me a father to Pharaoh, and lord of all his house, and a ruler throughout all the land of Egypt."
 1.0000,"Haste ye, and go up to my father, and say unto him, Thus saith thy son Joseph, God hath made me lord of all Egypt: come down unto me, tarry not:","Haste ye, and go up to my father, and say unto him, Thus saith thy son Joseph, God hath made me lord of all Egypt: come down unto me, tarry not:"
 1.0000,"And thou shalt dwell in the land of Goshen, and thou shalt be near unto me, thou, and thy children, and thy children's children, and thy flocks, and thy herds, and all that thou hast:","And thou shalt dwell in the land of Goshen, and thou shalt be near unto me, thou, and thy children, and thy children's children, and thy flocks, and thy herds, and all that thou hast:"
 1.0000,"And there will I nourish thee; for yet there are five years of famine; lest thou, and thy household, and all that thou hast, come to poverty.","And there will I nourish thee; for yet there are five years of famine; lest thou, and thy household, and all that thou hast, come to poverty."
 1.0000,"And, behold, your eyes see, and the eyes of my brother Benjamin, that it is my mouth that speaketh unto you.","And, behold, your eyes see, and the eyes of my brother Benjamin, that it is my mouth that speaketh unto you."
 1.0000,"And ye shall tell my father of all my glory in Egypt, and of all that ye have seen; and ye shall haste and bring down my father hither.","And ye shall tell my father of all my glory in Egypt, and of all that ye have seen; and ye shall haste and bring down my father hither."
 1.0000,"And he fell upon his brother Benjamin's neck, and wept; and Benjamin wept upon his neck.","And he fell upon his brother Benjamin's neck, and wept; and Benjamin wept upon his neck."
 1.0000,"Moreover he kissed all his brethren, and wept upon them: and after that his brethren talked with him.","Moreover he kissed all his brethren, and wept upon them: and after that his brethren talked with him."
 1.0000,"And the fame thereof was heard in Pharaoh's house, saying, Joseph's brethren are come: and it pleased Pharaoh well, and his servants.","And the fame thereof was heard in Pharaoh's house, saying, Joseph's brethren are come: and it pleased Pharaoh well, and his servants."
 1.0000,"And Pharaoh said unto Joseph, Say unto thy brethren, This do ye; lade your beasts, and go, get you unto the land of Canaan;","And Pharaoh said unto Joseph, Say unto thy brethren, This do ye; lade your beasts, and go, get you unto the land of Canaan;"
 1.0000,"And take your father and your households, and come unto me: and I will give you the good of the land of Egypt, and ye shall eat the fat of the land.","And take your father and your households, and come unto me: and I will give you the good of the land of Egypt, and ye shall eat the fat of the land."
 1.0000,"Now thou art commanded, this do ye; take you wagons out of the land of Egypt for your little ones, and for your wives, and bring your father, and come.","Now thou art commanded, this do ye; take you wagons out of the land of Egypt for your little ones, and for your wives, and bring your father, and come."
 1.0000,Also regard not your stuff; for the good of all the land of Egypt is yours.,Also regard not your stuff; for the good of all the land of Egypt is yours.
 1.0000,"And the children of Israel did so: and Joseph gave them wagons, according to the commandment of Pharaoh, and gave them provision for the way.","And the children of Israel did so: and Joseph gave them wagons, according to the commandment of Pharaoh, and gave them provision for the way."
 1.0000,"To all of them he gave each man changes of raiment; but to Benjamin he gave three hundred pieces of silver, and five changes of raiment.","To all of them he gave each man changes of raiment; but to Benjamin he gave three hundred pieces of silver, and five changes of raiment."
 1.0000,"And to his father he sent after this manner; ten asses laden with the good things of Egypt, and ten she asses laden with corn and bread and meat for his father by the way.","And to his father he sent after this manner; ten asses laden with the good things of Egypt, and ten she asses laden with corn and bread and meat for his father by the way."
 1.0000,"So he sent his brethren away, and they departed: and he said unto them, See that ye fall not out by the way.","So he sent his brethren away, and they departed: and he said unto them, See that ye fall not out by the way."
 1.0000,"And they went up out of Egypt, and came into the land of Canaan unto Jacob their father,","And they went up out of Egypt, and came into the land of Canaan unto Jacob their father,"
 1.0000,"And told him, saying, Joseph is yet alive, and he is governor over all the land of Egypt. And Jacob's heart fainted, for he believed them not.","And told him, saying, Joseph is yet alive, and he is governor over all the land of Egypt. And Jacob's heart fainted, for he believed them not."
 1.0000,"And they told him all the words of Joseph, which he had said unto them: and when he saw the wagons which Joseph had sent to carry him, the spirit of Jacob their father revived:","And they told him all the words of Joseph, which he had said unto them: and when he saw the wagons which Joseph had sent to carry him, the spirit of Jacob their father revived:"
 1.0000,"And Israel said, It is enough; Joseph my son is yet alive: I will go and see him before I die.","And Israel said, It is enough; Joseph my son is yet alive: I will go and see him before I die."
 1.0000,"And Israel took his journey with all that he had, and came to Beersheba, and offered sacrifices unto the God of his father Isaac.","And Israel took his journey with all that he had, and came to Beersheba, and offered sacrifices unto the God of his father Isaac."
 1.0000,"And God spake unto Israel in the visions of the night, and said, Jacob, Jacob. And he said, Here am I.","And God spake unto Israel in the visions of the night, and said, Jacob, Jacob. And he said, Here am I."
 1.0000,"And he said, I am God, the God of thy father: fear not to go down into Egypt; for I will there make of thee a great nation:","And he said, I am God, the God of thy father: fear not to go down into Egypt; for I will there make of thee a great nation:"
 1.0000,I will go down with thee into Egypt; and I will also surely bring thee up again: and Joseph shall put his hand upon thine eyes.,I will go down with thee into Egypt; and I will also surely bring thee up again: and Joseph shall put his hand upon thine eyes.
 1.0000,"And Jacob rose up from Beersheba: and the sons of Israel carried Jacob their father, and their little ones, and their wives, in the wagons which Pharaoh had sent to carry him.","And Jacob rose up from Beersheba: and the sons of Israel carried Jacob their father, and their little ones, and their wives, in the wagons which Pharaoh had sent to carry him."
 1.0000,"And they took their cattle, and their goods, which they had gotten in the land of Canaan, and came into Egypt, Jacob, and all his seed with him:","And they took their cattle, and their goods, which they had gotten in the land of Canaan, and came into Egypt, Jacob, and all his seed with him:"
 1.0000,"His sons, and his sons' sons with him, his daughters, and his sons' daughters, and all his seed brought he with him into Egypt.","His sons, and his sons' sons with him, his daughters, and his sons' daughters, and all his seed brought he with him into Egypt."
 1.0000,"And these are the names of the children of Israel, which came into Egypt, Jacob and his sons: Reuben, Jacob's firstborn.","And these are the names of the children of Israel, which came into Egypt, Jacob and his sons: Reuben, Jacob's firstborn."
 1.0000,"And the sons of Reuben; Hanoch, and Phallu, and Hezron, and Carmi.","And the sons of Reuben; Hanoch, and Phallu, and Hezron, and Carmi."
 1.0000,"And the sons of Simeon; Jemuel, and Jamin, and Ohad, and Jachin, and Zohar, and Shaul the son of a Canaanitish woman.","And the sons of Simeon; Jemuel, and Jamin, and Ohad, and Jachin, and Zohar, and Shaul the son of a Canaanitish woman."
 1.0000,"And the sons of Levi; Gershon, Kohath, and Merari.","And the sons of Levi; Gershon, Kohath, and Merari."
 1.0000,"And the sons of Judah; Er, and Onan, and Shelah, and Pharez, and Zarah: but Er and Onan died in the land of Canaan. And the sons of Pharez were Hezron and Hamul.","And the sons of Judah; Er, and Onan, and Shelah, and Pharez, and Zarah: but Er and Onan died in the land of Canaan. And the sons of Pharez were Hezron and Hamul."
 1.0000,"And the sons of Issachar; Tola, and Phuvah, and Job, and Shimron.","And the sons of Issachar; Tola, and Phuvah, and Job, and Shimron."
 1.0000,"And the sons of Zebulun; Sered, and Elon, and Jahleel.","And the sons of Zebulun; Sered, and Elon, and Jahleel."
 1.0000,"These be the sons of Leah, which she bare unto Jacob in Padanaram, with his daughter Dinah: all the souls of his sons and his daughters were thirty and three.","These be the sons of Leah, which she bare unto Jacob in Padanaram, with his daughter Dinah: all the souls of his sons and his daughters were thirty and three."
 1.0000,"And the sons of Gad; Ziphion, and Haggi, Shuni, and Ezbon, Eri, and Arodi, and Areli.","And the sons of Gad; Ziphion, and Haggi, Shuni, and Ezbon, Eri, and Arodi, and Areli."
 1.0000,"And the sons of Asher; Jimnah, and Ishuah, and Isui, and Beriah, and Serah their sister: and the sons of Beriah; Heber, and Malchiel.","And the sons of Asher; Jimnah, and Ishuah, and Isui, and Beriah, and Serah their sister: and the sons of Beriah; Heber, and Malchiel."
 1.0000,"These are the sons of Zilpah, whom Laban gave to Leah his daughter, and these she bare unto Jacob, even sixteen souls.","These are the sons of Zilpah, whom Laban gave to Leah his daughter, and these she bare unto Jacob, even sixteen souls."
 1.0000,"The sons of Rachel Jacob's wife; Joseph, and Benjamin.","The sons of Rachel Jacob's wife; Joseph, and Benjamin."
 1.0000,"And unto Joseph in the land of Egypt were born Manasseh and Ephraim, which Asenath the daughter of Potipherah priest of On bare unto him.","And unto Joseph in the land of Egypt were born Manasseh and Ephraim, which Asenath the daughter of Potipherah priest of On bare unto him."
 1.0000,"And the sons of Benjamin were Belah, and Becher, and Ashbel, Gera, and Naaman, Ehi, and Rosh, Muppim, and Huppim, and Ard.","And the sons of Benjamin were Belah, and Becher, and Ashbel, Gera, and Naaman, Ehi, and Rosh, Muppim, and Huppim, and Ard."
 1.0000,"These are the sons of Rachel, which were born to Jacob: all the souls were fourteen.","These are the sons of Rachel, which were born to Jacob: all the souls were fourteen."
 1.0000,And the sons of Dan; Hushim.,And the sons of Dan; Hushim.
 1.0000,"And the sons of Naphtali; Jahzeel, and Guni, and Jezer, and Shillem.","And the sons of Naphtali; Jahzeel, and Guni, and Jezer, and Shillem."
 1.0000,"These are the sons of Bilhah, which Laban gave unto Rachel his daughter, and she bare these unto Jacob: all the souls were seven.","These are the sons of Bilhah, which Laban gave unto Rachel his daughter, and she bare these unto Jacob: all the souls were seven."
 1.0000,"All the souls that came with Jacob into Egypt, which came out of his loins, besides Jacob's sons' wives, all the souls were threescore and six;","All the souls that came with Jacob into Egypt, which came out of his loins, besides Jacob's sons' wives, all the souls were threescore and six;"
 1.0000,"And the sons of Joseph, which were born him in Egypt, were two souls: all the souls of the house of Jacob, which came into Egypt, were threescore and ten.","And the sons of Joseph, which were born him in Egypt, were two souls: all the souls of the house of Jacob, which came into Egypt, were threescore and ten."
 1.0000,"And he sent Judah before him unto Joseph, to direct his face unto Goshen; and they came into the land of Goshen.","And he sent Judah before him unto Joseph, to direct his face unto Goshen; and they came into the land of Goshen."
 1.0000,"And Joseph made ready his chariot, and went up to meet Israel his father, to Goshen, and presented himself unto him; and he fell on his neck, and wept on his neck a good while.","And Joseph made ready his chariot, and went up to meet Israel his father, to Goshen, and presented himself unto him; and he fell on his neck, and wept on his neck a good while."
 1.0000,"And Israel said unto Joseph, Now let me die, since I have seen thy face, because thou art yet alive.","And Israel said unto Joseph, Now let me die, since I have seen thy face, because thou art yet alive."
 1.0000,"And Joseph said unto his brethren, and unto his father's house, I will go up, and show Pharaoh, and say unto him, My brethren, and my father's house, which were in the land of Canaan, are come unto me;","And Joseph said unto his brethren, and unto his father's house, I will go up, and show Pharaoh, and say unto him, My brethren, and my father's house, which were in the land of Canaan, are come unto me;"
 1.0000,"And the men are shepherds, for their trade hath been to feed cattle; and they have brought their flocks, and their herds, and all that they have.","And the men are shepherds, for their trade hath been to feed cattle; and they have brought their flocks, and their herds, and all that they have."
 1.0000,"And it shall come to pass, when Pharaoh shall call you, and shall say, What is your occupation?","And it shall come to pass, when Pharaoh shall call you, and shall say, What is your occupation?"
 1.0000,"That ye shall say, Thy servants' trade hath been about cattle from our youth even until now, both we, and also our fathers: that ye may dwell in the land of Goshen; for every shepherd is an abomination unto the Egyptians.","That ye shall say, Thy servants' trade hath been about cattle from our youth even until now, both we, and also our fathers: that ye may dwell in the land of Goshen; for every shepherd is an abomination unto the Egyptians."
 1.0000,"Then Joseph came and told Pharaoh, and said, My father and my brethren, and their flocks, and their herds, and all that they have, are come out of the land of Canaan; and, behold, they are in the land of Goshen.","Then Joseph came and told Pharaoh, and said, My father and my brethren, and their flocks, and their herds, and all that they have, are come out of the land of Canaan; and, behold, they are in the land of Goshen."
 1.0000,"And he took some of his brethren, even five men, and presented them unto Pharaoh.","And he took some of his brethren, even five men, and presented them unto Pharaoh."
 1.0000,"And Pharaoh said unto his brethren, What is your occupation? And they said unto Pharaoh, Thy servants are shepherds, both we, and also our fathers.","And Pharaoh said unto his brethren, What is your occupation? And they said unto Pharaoh, Thy servants are shepherds, both we, and also our fathers."
 1.0000,"They said moreover unto Pharaoh, For to sojourn in the land are we come; for thy servants have no pasture for their flocks; for the famine is sore in the land of Canaan: now therefore, we pray thee, let thy servants dwell in the land of Goshen.","They said moreover unto Pharaoh, For to sojourn in the land are we come; for thy servants have no pasture for their flocks; for the famine is sore in the land of Canaan: now therefore, we pray thee, let thy servants dwell in the land of Goshen."
 1.0000,"And Pharaoh spake unto Joseph, saying, Thy father and thy brethren are come unto thee:","And Pharaoh spake unto Joseph, saying, Thy father and thy brethren are come unto thee:"
 1.0000,"The land of Egypt is before thee; in the best of the land make thy father and brethren to dwell; in the land of Goshen let them dwell: and if thou knowest any men of activity among them, then make them rulers over my cattle.","The land of Egypt is before thee; in the best of the land make thy father and brethren to dwell; in the land of Goshen let them dwell: and if thou knowest any men of activity among them, then make them rulers over my cattle."
 1.0000,"And Joseph brought in Jacob his father, and set him before Pharaoh: and Jacob blessed Pharaoh.","And Joseph brought in Jacob his father, and set him before Pharaoh: and Jacob blessed Pharaoh."
 1.0000,"And Pharaoh said unto Jacob, How old art thou?","And Pharaoh said unto Jacob, How old art thou?"
 1.0000,"And Jacob said unto Pharaoh, The days of the years of my pilgrimage are an hundred and thirty years: few and evil have the days of the years of my life been, and have not attained unto the days of the years of the life of my fathers in the days of their pilgrimage.","And Jacob said unto Pharaoh, The days of the years of my pilgrimage are an hundred and thirty years: few and evil have the days of the years of my life been, and have not attained unto the days of the years of the life of my fathers in the days of their pilgrimage."
 1.0000,"And Jacob blessed Pharaoh, and went out from before Pharaoh.","And Jacob blessed Pharaoh, and went out from before Pharaoh."
 1.0000,"And Joseph placed his father and his brethren, and gave them a possession in the land of Egypt, in the best of the land, in the land of Rameses, as Pharaoh had commanded.","And Joseph placed his father and his brethren, and gave them a possession in the land of Egypt, in the best of the land, in the land of Rameses, as Pharaoh had commanded."
 1.0000,"And Joseph nourished his father, and his brethren, and all his father's household, with bread, according to their families.","And Joseph nourished his father, and his brethren, and all his father's household, with bread, according to their families."
 1.0000,"And there was no bread in all the land; for the famine was very sore, so that the land of Egypt and all the land of Canaan fainted by reason of the famine.","And there was no bread in all the land; for the famine was very sore, so that the land of Egypt and all the land of Canaan fainted by reason of the famine."
 1.0000,"And Joseph gathered up all the money that was found in the land of Egypt, and in the land of Canaan, for the corn which they bought: and Joseph brought the money into Pharaoh's house.","And Joseph gathered up all the money that was found in the land of Egypt, and in the land of Canaan, for the corn which they bought: and Joseph brought the money into Pharaoh's house."
 1.0000,"And when money failed in the land of Egypt, and in the land of Canaan, all the Egyptians came unto Joseph, and said, Give us bread: for why should we die in thy presence? for the money faileth.","And when money failed in the land of Egypt, and in the land of Canaan, all the Egyptians came unto Joseph, and said, Give us bread: for why should we die in thy presence? for the money faileth."
 1.0000,"And Joseph said, Give your cattle; and I will give you for your cattle, if money fail.","And Joseph said, Give your cattle; and I will give you for your cattle, if money fail."
 1.0000,"And they brought their cattle unto Joseph: and Joseph gave them bread in exchange for horses, and for the flocks, and for the cattle of the herds, and for the asses: and he fed them with bread for all their cattle for that year.","And they brought their cattle unto Joseph: and Joseph gave them bread in exchange for horses, and for the flocks, and for the cattle of the herds, and for the asses: and he fed them with bread for all their cattle for that year."
 1.0000,"When that year was ended, they came unto him the second year, and said unto him, We will not hide it from my lord, how that our money is spent; my lord also hath our herds of cattle; there is not ought left in the sight of my lord, but our bodies, and our lands:","When that year was ended, they came unto him the second year, and said unto him, We will not hide it from my lord, how that our money is spent; my lord also hath our herds of cattle; there is not ought left in the sight of my lord, but our bodies, and our lands:"
 1.0000,"Wherefore shall we die before thine eyes, both we and our land? buy us and our land for bread, and we and our land will be servants unto Pharaoh: and give us seed, that we may live, and not die, that the land be not desolate.","Wherefore shall we die before thine eyes, both we and our land? buy us and our land for bread, and we and our land will be servants unto Pharaoh: and give us seed, that we may live, and not die, that the land be not desolate."
 1.0000,"And Joseph bought all the land of Egypt for Pharaoh; for the Egyptians sold every man his field, because the famine prevailed over them: so the land became Pharaoh's.","And Joseph bought all the land of Egypt for Pharaoh; for the Egyptians sold every man his field, because the famine prevailed over them: so the land became Pharaoh's."
 1.0000,"And as for the people, he removed them to cities from one end of the borders of Egypt even to the other end thereof.","And as for the people, he removed them to cities from one end of the borders of Egypt even to the other end thereof."
 1.0000,"Only the land of the priests bought he not; for the priests had a portion assigned them of Pharaoh, and did eat their portion which Pharaoh gave them: wherefore they sold not their lands.","Only the land of the priests bought he not; for the priests had a portion assigned them of Pharaoh, and did eat their portion which Pharaoh gave them: wherefore they sold not their lands."
 1.0000,"Then Joseph said unto the people, Behold, I have bought you this day and your land for Pharaoh: lo, here is seed for you, and ye shall sow the land.","Then Joseph said unto the people, Behold, I have bought you this day and your land for Pharaoh: lo, here is seed for you, and ye shall sow the land."
 1.0000,"And it shall come to pass in the increase, that ye shall give the fifth part unto Pharaoh, and four parts shall be your own, for seed of the field, and for your food, and for them of your households, and for food for your little ones.","And it shall come to pass in the increase, that ye shall give the fifth part unto Pharaoh, and four parts shall be your own, for seed of the field, and for your food, and for them of your households, and for food for your little ones."
 1.0000,"And they said, Thou hast saved our lives: let us find grace in the sight of my lord, and we will be Pharaoh's servants.","And they said, Thou hast saved our lives: let us find grace in the sight of my lord, and we will be Pharaoh's servants."
 1.0000,"And Joseph made it a law over the land of Egypt unto this day, that Pharaoh should have the fifth part, except the land of the priests only, which became not Pharaoh's.","And Joseph made it a law over the land of Egypt unto this day, that Pharaoh should have the fifth part, except the land of the priests only, which became not Pharaoh's."
 1.0000,"And Israel dwelt in the land of Egypt, in the country of Goshen; and they had possessions therein, and grew, and multiplied exceedingly.","And Israel dwelt in the land of Egypt, in the country of Goshen; and they had possessions therein, and grew, and multiplied exceedingly."
 1.0000,And Jacob lived in the land of Egypt seventeen years: so the whole age of Jacob was an hundred forty and seven years.,And Jacob lived in the land of Egypt seventeen years: so the whole age of Jacob was an hundred forty and seven years.
 1.0000,"And the time drew nigh that Israel must die: and he called his son Joseph, and said unto him, If now I have found grace in thy sight, put, I pray thee, thy hand under my thigh, and deal kindly and truly with me; bury me not, I pray thee, in Egypt:","And the time drew nigh that Israel must die: and he called his son Joseph, and said unto him, If now I have found grace in thy sight, put, I pray thee, thy hand under my thigh, and deal kindly and truly with me; bury me not, I pray thee, in Egypt:"
 1.0000,"But I will lie with my fathers, and thou shalt carry me out of Egypt, and bury me in their buryingplace. And he said, I will do as thou hast said.","But I will lie with my fathers, and thou shalt carry me out of Egypt, and bury me in their buryingplace. And he said, I will do as thou hast said."
 1.0000,"And he said, Swear unto me. And he sware unto him. And Israel bowed himself upon the bed's head.","And he said, Swear unto me. And he sware unto him. And Israel bowed himself upon the bed's head."
 1.0000,"And it came to pass after these things, that one told Joseph, Behold, thy father is sick: and he took with him his two sons, Manasseh and Ephraim.","And it came to pass after these things, that one told Joseph, Behold, thy father is sick: and he took with him his two sons, Manasseh and Ephraim."
 1.0000,"And one told Jacob, and said, Behold, thy son Joseph cometh unto thee: and Israel strengthened himself, and sat upon the bed.","And one told Jacob, and said, Behold, thy son Joseph cometh unto thee: and Israel strengthened himself, and sat upon the bed."
 1.0000,"And Jacob said unto Joseph, God Almighty appeared unto me at Luz in the land of Canaan, and blessed me,","And Jacob said unto Joseph, God Almighty appeared unto me at Luz in the land of Canaan, and blessed me,"
 1.0000,"And said unto me, Behold, I will make thee fruitful, and multiply thee, and I will make of thee a multitude of people; and will give this land to thy seed after thee for an everlasting possession.","And said unto me, Behold, I will make thee fruitful, and multiply thee, and I will make of thee a multitude of people; and will give this land to thy seed after thee for an everlasting possession."
 1.0000,"And now thy two sons, Ephraim and Manasseh, which were born unto thee in the land of Egypt before I came unto thee into Egypt, are mine; as Reuben and Simeon, they shall be mine.","And now thy two sons, Ephraim and Manasseh, which were born unto thee in the land of Egypt before I came unto thee into Egypt, are mine; as Reuben and Simeon, they shall be mine."
 1.0000,"And thy issue, which thou begettest after them, shall be thine, and shall be called after the name of their brethren in their inheritance.","And thy issue, which thou begettest after them, shall be thine, and shall be called after the name of their brethren in their inheritance."
 1.0000,"And as for me, when I came from Padan, Rachel died by me in the land of Canaan in the way, when yet there was but a little way to come unto Ephrath: and I buried her there in the way of Ephrath; the same is Bethlehem.","And as for me, when I came from Padan, Rachel died by me in the land of Canaan in the way, when yet there was but a little way to come unto Ephrath: and I buried her there in the way of Ephrath; the same is Bethlehem."
 1.0000,"And Israel beheld Joseph's sons, and said, Who are these?","And Israel beheld Joseph's sons, and said, Who are these?"
 1.0000,"And Joseph said unto his father, They are my sons, whom God hath given me in this place. And he said, Bring them, I pray thee, unto me, and I will bless them.","And Joseph said unto his father, They are my sons, whom God hath given me in this place. And he said, Bring them, I pray thee, unto me, and I will bless them."
 1.0000,"Now the eyes of Israel were dim for age, so that he could not see. And he brought them near unto him; and he kissed them, and embraced them.","Now the eyes of Israel were dim for age, so that he could not see. And he brought them near unto him; and he kissed them, and embraced them."
 1.0000,"And Israel said unto Joseph, I had not thought to see thy face: and, lo, God hath showed me also thy seed.","And Israel said unto Joseph, I had not thought to see thy face: and, lo, God hath showed me also thy seed."
 1.0000,"And Joseph brought them out from between his knees, and he bowed himself with his face to the earth.","And Joseph brought them out from between his knees, and he bowed himself with his face to the earth."
 1.0000,"And Joseph took them both, Ephraim in his right hand toward Israel's left hand, and Manasseh in his left hand toward Israel's right hand, and brought them near unto him.","And Joseph took them both, Ephraim in his right hand toward Israel's left hand, and Manasseh in his left hand toward Israel's right hand, and brought them near unto him."
 1.0000,"And Israel stretched out his right hand, and laid it upon Ephraim's head, who was the younger, and his left hand upon Manasseh's head, guiding his hands wittingly; for Manasseh was the firstborn.","And Israel stretched out his right hand, and laid it upon Ephraim's head, who was the younger, and his left hand upon Manasseh's head, guiding his hands wittingly; for Manasseh was the firstborn."
 1.0000,"And he blessed Joseph, and said, God, before whom my fathers Abraham and Isaac did walk, the God which fed me all my life long unto this day,","And he blessed Joseph, and said, God, before whom my fathers Abraham and Isaac did walk, the God which fed me all my life long unto this day,"
 1.0000,"The Angel which redeemed me from all evil, bless the lads; and let my name be named on them, and the name of my fathers Abraham and Isaac; and let them grow into a multitude in the midst of the earth.","The Angel which redeemed me from all evil, bless the lads; and let my name be named on them, and the name of my fathers Abraham and Isaac; and let them grow into a multitude in the midst of the earth."
 1.0000,"And when Joseph saw that his father laid his right hand upon the head of Ephraim, it displeased him: and he held up his father's hand, to remove it from Ephraim's head unto Manasseh's head.","And when Joseph saw that his father laid his right hand upon the head of Ephraim, it displeased him: and he held up his father's hand, to remove it from Ephraim's head unto Manasseh's head."
 1.0000,"And Joseph said unto his father, Not so, my father: for this is the firstborn; put thy right hand upon his head.","And Joseph said unto his father, Not so, my father: for this is the firstborn; put thy right hand upon his head."
 1.0000,"And his father refused, and said, I know it, my son, I know it: he also shall become a people, and he also shall be great: but truly his younger brother shall be greater than he, and his seed shall become a multitude of nations.","And his father refused, and said, I know it, my son, I know it: he also shall become a people, and he also shall be great: but truly his younger brother shall be greater than he, and his seed shall become a multitude of nations."
 1.0000,"And he blessed them that day, saying, In thee shall Israel bless, saying, God make thee as Ephraim and as Manasseh: and he set Ephraim before Manasseh.","And he blessed them that day, saying, In thee shall Israel bless, saying, God make thee as Ephraim and as Manasseh: and he set Ephraim before Manasseh."
 1.0000,"And Israel said unto Joseph, Behold, I die: but God shall be with you, and bring you again unto the land of your fathers.","And Israel said unto Joseph, Behold, I die: but God shall be with you, and bring you again unto the land of your fathers."
 1.0000,"Moreover I have given to thee one portion above thy brethren, which I took out of the hand of the Amorite with my sword and with my bow.","Moreover I have given to thee one portion above thy brethren, which I took out of the hand of the Amorite with my sword and with my bow."
 1.0000,"And Jacob called unto his sons, and said, Gather yourselves together, that I may tell you that which shall befall you in the last days.","And Jacob called unto his sons, and said, Gather yourselves together, that I may tell you that which shall befall you in the last days."
 1.0000,"Gather yourselves together, and hear, ye sons of Jacob; and hearken unto Israel your father.","Gather yourselves together, and hear, ye sons of Jacob; and hearken unto Israel your father."
 1.0000,"Reuben, thou art my firstborn, my might, and the beginning of my strength, the excellency of dignity, and the excellency of power:","Reuben, thou art my firstborn, my might, and the beginning of my strength, the excellency of dignity, and the excellency of power:"
 1.0000,"Unstable as water, thou shalt not excel; because thou wentest up to thy father's bed; then defiledst thou it: he went up to my couch.","Unstable as water, thou shalt not excel; because thou wentest up to thy father's bed; then defiledst thou it: he went up to my couch."
 1.0000,Simeon and Levi are brethren; instruments of cruelty are in their habitations.,Simeon and Levi are brethren; instruments of cruelty are in their habitations.
 1.0000,"O my soul, come not thou into their secret; unto their assembly, mine honor, be not thou united: for in their anger they slew a man, and in their self-will they digged down a wall.","O my soul, come not thou into their secret; unto their assembly, mine honor, be not thou united: for in their anger they slew a man, and in their self-will they digged down a wall."
 1.0000,"Cursed be their anger, for it was fierce; and their wrath, for it was cruel: I will divide them in Jacob, and scatter them in Israel.","Cursed be their anger, for it was fierce; and their wrath, for it was cruel: I will divide them in Jacob, and scatter them in Israel."
 1.0000,"Judah, thou art he whom thy brethren shall praise: thy hand shall be in the neck of thine enemies; thy father's children shall bow down before thee.","Judah, thou art he whom thy brethren shall praise: thy hand shall be in the neck of thine enemies; thy father's children shall bow down before thee."
 1.0000,"Judah is a lion's whelp: from the prey, my son, thou art gone up: he stooped down, he couched as a lion, and as an old lion; who shall rouse him up?","Judah is a lion's whelp: from the prey, my son, thou art gone up: he stooped down, he couched as a lion, and as an old lion; who shall rouse him up?"
 1.0000,"The sceptre shall not depart from Judah, nor a lawgiver from between his feet, until Shiloh come; and unto him shall the gathering of the people be.","The sceptre shall not depart from Judah, nor a lawgiver from between his feet, until Shiloh come; and unto him shall the gathering of the people be."
 1.0000,"Binding his foal unto the vine, and his ass's colt unto the choice vine; he washed his garments in wine, and his clothes in the blood of grapes:","Binding his foal unto the vine, and his ass's colt unto the choice vine; he washed his garments in wine, and his clothes in the blood of grapes:"
 1.0000,"His eyes shall be red with wine, and his teeth white with milk.","His eyes shall be red with wine, and his teeth white with milk."
 1.0000,Zebulun shall dwell at the haven of the sea; and he shall be for an haven of ships; and his border shall be unto Zidon.,Zebulun shall dwell at the haven of the sea; and he shall be for an haven of ships; and his border shall be unto Zidon.
 1.0000,Issachar is a strong ass couching down between two burdens:,Issachar is a strong ass couching down between two burdens:
 1.0000,"And he saw that rest was good, and the land that it was pleasant; and bowed his shoulder to bear, and became a servant unto tribute.","And he saw that rest was good, and the land that it was pleasant; and bowed his shoulder to bear, and became a servant unto tribute."
 1.0000,"Dan shall judge his people, as one of the tribes of Israel.","Dan shall judge his people, as one of the tribes of Israel."
 1.0000,"Dan shall be a serpent by the way, an adder in the path, that biteth the horse heels, so that his rider shall fall backward.","Dan shall be a serpent by the way, an adder in the path, that biteth the horse heels, so that his rider shall fall backward."
 1.0000,"I have waited for thy salvation, O LORD.","I have waited for thy salvation, O LORD."
 1.0000,"Gad, a troop shall overcome him: but he shall overcome at the last.","Gad, a troop shall overcome him: but he shall overcome at the last."
 1.0000,"Out of Asher his bread shall be fat, and he shall yield royal dainties.","Out of Asher his bread shall be fat, and he shall yield royal dainties."
 1.0000,Naphtali is a hind let loose: he giveth goodly words.,Naphtali is a hind let loose: he giveth goodly words.
 1.0000,"Joseph is a fruitful bough, even a fruitful bough by a well; whose branches run over the wall:","Joseph is a fruitful bough, even a fruitful bough by a well; whose branches run over the wall:"
 1.0000,"The archers have sorely grieved him, and shot at him, and hated him:","The archers have sorely grieved him, and shot at him, and hated him:"
