 0.9243,In the beginning God created the heaven and the earth.,A revelation from Him Who created the earth and the heavens on high.
 0.9186,"For it was little which thou hadst before I came, and it is now increased unto a multitude; and the LORD hath blessed thee since my coming: and now when shall I provide for mine own house also?","""Never said I to them aught except what Thou didst command me to say, to wit, 'worship Allah, my Lord and your Lord'; and I was a witness over them whilst I dwelt amongst them; when Thou didst take me up Thou wast the Watcher over them, and Thou art a witness to all things."
 0.9265,"And he said, What shall I give thee? And Jacob said, Thou shalt not give me any thing: if thou wilt do this thing for me, I will again feed and keep thy flock.","Say: ""O my Lord! if Thou wilt show me (in my lifetime) that which they are warned against,-"
 0.9309,"I will pass through all thy flock to day, removing from thence all the speckled and spotted cattle, and all the brown cattle among the sheep, and the spotted and speckled among the goats: and of such shall be my hire.","Nor are the two bodies of flowing water alike,- the one palatable, sweet, and pleasant to drink, and the other, salt and bitter. Yet from each (kind of water) do ye eat flesh fresh and tender, and ye extract ornaments to wear; and thou seest the ships therein that plough the waves, that ye may seek (thus) of the Bounty of Allah that ye may be grateful."
 0.9469,"So shall my righteousness answer for me in time to come, when it shall come for my hire before thy face: every one that is not speckled and spotted among the goats, and brown among the sheep, that shall be counted stolen with me.","And their Lord hath accepted of them, and answered them: ""Never will I suffer to be lost the work of any of you, be he male or female: Ye are members, one of another: Those who have left their homes, or been driven out therefrom, or suffered harm in My Cause, or fought or been slain,- verily, I will blot out from them their iniquities, and admit them into Gardens with rivers flowing beneath;- A reward from the presence of Allah, and from His presence is the best of rewards."""
 0.9220,"And Laban said, Behold, I would it might be according to thy word.","(Iblis) said: ""Then, by Thy power, I will put them all in the wrong,-"
 0.8568,"And he removed that day the he goats that were ring-streaked and spotted, and all the she goats that were speckled and spotted, and every one that had some white in it, and all the brown among the sheep, and gave them into the hand of his sons.","It is He Who sendeth down rain from the skies: with it We produce vegetation of all kinds: from some We produce green (crops), out of which We produce grain, heaped up (at harvest); out of the date-palm and its sheaths (or spathes) (come) clusters of dates hanging low and near: and (then there are) gardens of grapes, and olives, and pomegranates, each similar (in kind) yet different (in variety): when they begin to bear fruit, feast your eyes with the fruit and the ripeness thereof. Behold! in these things there are signs for people who believe."
 0.9186,And he set three days' journey betwixt himself and Jacob: and Jacob fed the rest of Laban's flocks.,"""Except a messenger whom He has chosen: and then He makes a band of watchers march before him and behind him,"
 0.9300,"And Jacob took him rods of green poplar, and of the hazel and chestnut tree; and pilled white streaks in them, and made the white appear which was in the rods.","And in the earth are tracts (diverse though) neighbouring, and gardens of vines and fields sown with corn, and palm trees - growing out of single roots or otherwise: watered with the same water, yet some of them We make more excellent than others to eat. Behold, verily in these things there are signs for those who understand!"
 0.9187,"And he set the rods which he had pilled before the flocks in the gutters in the watering troughs when the flocks came to drink, that they should conceive when they came to drink.","And (Joseph) told his servants to put their stock-in-trade (with which they had bartered) into their saddle-bags, so they should know it only when they returned to their people, in order that they might come back."
 0.9127,"And the flocks conceived before the rods, and brought forth cattle ring-streaked, speckled, and spotted.","When the she-camels, ten months with young, are left untended;"
 0.9270,"And Jacob did separate the lambs, and set the faces of the flocks toward the ring-streaked, and all the brown in the flock of Laban; and he put his own flocks by themselves, and put them not unto Laban's cattle.","It is He Who produceth gardens, with trellises and without, and dates, and tilth with produce of all kinds, and olives and pomegranates, similar (in kind) and different (in variety): eat of their fruit in their season, but render the dues that are proper on the day that the harvest is gathered. But waste not by excess: for Allah loveth not the wasters."
 0.9188,"And it came to pass, whensoever the stronger cattle did conceive, that Jacob laid the rods before the eyes of the cattle in the gutters, that they might conceive among the rods.","We showed them Sign after Sign, each greater than its fellow, and We seized them with Punishment, in order that they might turn (to Us)."
 0.9033,"But when the cattle were feeble, he put them not in: so the feebler were Laban's, and the stronger Jacob's.",Then they sought a stratagem against him: but We made them the ones that lost most!
 0.9111,"And the man increased exceedingly, and had much cattle, and maidservants, and menservants, and camels, and asses.","And corn-fields and noble buildings,"
 0.8963,"And he heard the words of Laban's sons, saying, Jacob hath taken away all that was our father's; and of that which was our father's hath he gotten all this glory.","Said the chiefs of Pharaoh's people: ""Wilt thou leave Moses and his people, to spread mischief in the land, and to abandon thee and thy gods?"" He said: ""Their male children will we slay; (only) their females will we save alive; and we have over them (power) irresistible."""
 0.8825,"And Jacob beheld the countenance of Laban, and, behold, it was not toward him as before.","But (Pharaoh) turned back with his Chiefs, and said, ""A sorcerer, or one possessed!"""
 0.9109,"And the LORD said unto Jacob, Return unto the land of thy fathers, and to thy kindred; and I will be with thee.","And Noah called upon his Lord, and said: ""O my Lord! surely my son is of my family! and Thy promise is true, and Thou art the justest of Judges!"""
 0.9300,"And Jacob sent and called Rachel and Leah to the field unto his flock,","Then We sent Moses and his brother Aaron, with Our Signs and authority manifest,"
 0.9212,"And said unto them, I see your father's countenance, that it is not toward me as before; but the God of my father hath been with me.","Now when (the embassy) came to Solomon, he said: ""Will ye give me abundance in wealth? But that which Allah has given me is better than that which He has given you! Nay it is ye who rejoice in your gift!"
 0.8845,And ye know that with all my power I have served your father.,"He said, ""Indeed ye have been in manifest error - ye and your fathers."""
 0.9193,"And your father hath deceived me, and changed my wages ten times; but God suffered him not to hurt me.",Or He can cause them to perish because of the (evil) which (the men) have earned; but much doth He forgive.
 0.9251,"If he said thus, The speckled shall be thy wages; then all the cattle bare speckled: and if he said thus, The ring-streaked shall be thy hire; then bare all the cattle ring-streaked.","Nor are the two bodies of flowing water alike,- the one palatable, sweet, and pleasant to drink, and the other, salt and bitter. Yet from each (kind of water) do ye eat flesh fresh and tender, and ye extract ornaments to wear; and thou seest the ships therein that plough the waves, that ye may seek (thus) of the Bounty of Allah that ye may be grateful."
 0.9116,"Thus God hath taken away the cattle of your father, and given them to me.","Enjoying the (Bliss) which their Lord hath bestowed on them, and their Lord shall deliver them from the Penalty of the Fire."
 0.8862,"And it came to pass at the time that the cattle conceived, that I lifted up mine eyes, and saw in a dream, and, behold, the rams which leaped upon the cattle were ring-streaked, speckled, and grizzled.","So he saw the morning in the city, looking about, in a state of fear, when behold, the man who had, the day before, sought his help called aloud for his help (again). Moses said to him: ""Thou art truly, it is clear, a quarrelsome fellow!"""
 0.8849,"And the angel of God spake unto me in a dream, saying, Jacob: And I said, Here am I.","When Moses came to the place appointed by Us, and his Lord addressed him, He said: ""O my Lord! show (Thyself) to me, that I may look upon thee."" Allah said: ""By no means canst thou see Me (direct); But look upon the mount; if it abide in its place, then shalt thou see Me."" When his Lord manifested His glory on the Mount, He made it as dust. And Moses fell down in a swoon. When he recovered his senses he said: ""Glory be to Thee! to Thee I turn in repentance, and I am the first to believe."""
 0.9232,"And he said, Lift up now thine eyes, and see, all the rams which leap upon the cattle are ring-streaked, speckled, and grizzled: for I have seen all that Laban doeth unto thee.","And when Our Messengers came to Lut, he was grieved on their account, and felt himself powerless (to protect) them: but they said: ""Fear thou not, nor grieve: we are (here) to save thee and thy following, except thy wife: she is of those who lag behind."
 0.9375,"I am the God of Bethel, where thou anointedst the pillar, and where thou vowedst a vow unto me: now arise, get thee out from this land, and return unto the land of thy kindred.","Behold! a woman of 'Imran said: ""O my Lord! I do dedicate unto Thee what is in my womb for Thy special service: So accept this of me: For Thou hearest and knowest all things."""
 0.9288,"And Rachel and Leah answered and said unto him, Is there yet any portion or inheritance for us in our father's house?","Now when they saw no hope of his (yielding), they held a conference in private. The leader among them said: ""Know ye not that your father did take an oath from you in Allah's name, and how, before this, ye did fail in your duty with Joseph? Therefore will I not leave this land until my father permits me, or Allah commands me; and He is the best to command."
 0.9294,"Are we not counted of him strangers? for he hath sold us, and hath quite devoured also our money.","Or thinkest thou that most of them listen or understand? They are only like cattle;- nay, they are worse astray in Path."
 0.9317,"For all the riches which God hath taken from our father, that is ours, and our children's: now then, whatsoever God hath said unto thee, do.","Except those on whom thy Lord hath bestowed His Mercy: and for this did He create them: and the Word of thy Lord shall be fulfilled: ""I will fill Hell with jinns and men all together."""
 0.8987,"Then Jacob rose up, and set his sons and his wives upon camels;","And his wife was standing (there), and she laughed: But we gave her glad tidings of Isaac, and after him, of Jacob."
 0.9272,"And he carried away all his cattle, and all his goods which he had gotten, the cattle of his getting, which he had gotten in Padanaram, for to go to Isaac his father in the land of Canaan.","And (Joseph) told his servants to put their stock-in-trade (with which they had bartered) into their saddle-bags, so they should know it only when they returned to their people, in order that they might come back."
 0.9079,And Laban went to shear his sheep: and Rachel had stolen the images that were her father's.,"Then the big Fish did swallow him, and he had done acts worthy of blame."
 0.9383,"And Jacob stole away unawares to Laban the Syrian, in that he told him not that he fled.","And (Lut) did warn them of Our Punishment, but they disputed about the Warning."
 0.9051,"So he fled with all that he had; and he rose up, and passed over the river, and set his face toward the mount Gilead.","But they called to their companion, and he took a sword in hand, and hamstrung (her)."
 0.9205,And it was told Laban on the third day that Jacob was fled.,"For indeed he saw him at a second descent,"
 0.8971,"And he took his brethren with him, and pursued after him seven days' journey; and they overtook him in the mount Gilead.","And his wife was standing (there), and she laughed: But we gave her glad tidings of Isaac, and after him, of Jacob."
 0.9338,"And God came to Laban the Syrian in a dream by night, and said unto him, Take heed that thou speak not to Jacob either good or bad.","So his Lord hearkened to him (in his prayer), and turned away from him their snare: Verily He heareth and knoweth (all things)."
 0.8996,Then Laban overtook Jacob. Now Jacob had pitched his tent in the mount: and Laban with his brethren pitched in the mount of Gilead.,"But they rejected him, and We delivered him, and those with him, in the Ark: but We overwhelmed in the flood those who rejected Our signs. They were indeed a blind people!"
 0.9194,"And Laban said to Jacob, What hast thou done, that thou hast stolen away unawares to me, and carried away my daughters, as captives taken with the sword?","""Turn ye back to your father, and say, 'O our father! behold! thy son committed theft! we bear witness only to what we know, and we could not well guard against the unseen!"
 0.9101,"Wherefore didst thou flee away secretly, and steal away from me; and didst not tell me, that I might have sent thee away with mirth, and with songs, with tabret, and with harp?","Or lest ye should say: ""If the Book had only been sent down to us, we should have followed its guidance better than they."" Now then hath come unto you a clear (sign) from your Lord,- and a guide and a mercy: then who could do more wrong than one who rejecteth Allah's signs, and turneth away therefrom? In good time shall We requite those who turn away from Our signs, with a dreadful penalty, for their turning away."
 0.8948,And hast not suffered me to kiss my sons and my daughters? thou hast now done foolishly in so doing.,"And even if thou hast to turn away from them in pursuit of the Mercy from thy Lord which thou dost expect, yet speak to them a word of easy kindness."
 0.9412,"It is in the power of my hand to do you hurt: but the God of your father spake unto me yesternight, saying, Take thou heed that thou speak not to Jacob either good or bad.","""Our Lord!"" (they say), ""Let not our hearts deviate now after Thou hast guided us, but grant us mercy from Thine own Presence; for Thou art the Grantor of bounties without measure."
 0.9276,"And now, though thou wouldest needs be gone, because thou sore longedst after thy father's house, yet wherefore hast thou stolen my gods?","""Why bringest thou not angels to us if it be that thou hast the Truth?"""
 0.9275,"And Jacob answered and said to Laban, Because I was afraid: for I said, Peradventure thou wouldest take by force thy daughters from me.","Then We said: ""O Adam! verily, this is an enemy to thee and thy wife: so let him not get you both out of the Garden, so that thou art landed in misery."
 0.9507,"With whomsoever thou findest thy gods, let him not live: before our brethren discern thou what is thine with me, and take it to thee. For Jacob knew not that Rachel had stolen them.","""Our Lord! any whom Thou dost admit to the Fire, Truly Thou coverest with shame, and never will wrong-doers Find any helpers!"
 0.8855,"And Laban went into Jacob's tent, and into Leah's tent, and into the two maidservants' tents; but he found them not. Then went he out of Leah's tent, and entered into Rachel's tent.","At length when he had furnished them forth with provisions (suitable) for them, he put the drinking cup into his brother's saddle-bag. Then shouted out a crier: ""O ye (in) the caravan! behold! ye are thieves, without doubt!"""
 0.9158,"Now Rachel had taken the images, and put them in the camel's furniture, and sat upon them. And Laban searched all the tent, but found them not.","At length when he had furnished them forth with provisions (suitable) for them, he put the drinking cup into his brother's saddle-bag. Then shouted out a crier: ""O ye (in) the caravan! behold! ye are thieves, without doubt!"""
 0.8972,"And she said to her father, Let it not displease my lord that I cannot rise up before thee; for the custom of women is upon me. And he searched but found not the images.","Noah said: ""O my Lord! I do seek refuge with Thee, lest I ask Thee for that of which I have no knowledge. And unless thou forgive me and have Mercy on me, I should indeed be lost!"""
 0.9315,"And Jacob was wroth, and chode with Laban: and Jacob answered and said to Laban, What is my trespass? what is my sin, that thou hast so hotly pursued after me?","So by deceit he brought about their fall: when they tasted of the tree, their shame became manifest to them, and they began to sew together the leaves of the garden over their bodies. And their Lord called unto them: ""Did I not forbid you that tree, and tell you that Satan was an avowed enemy unto you?"""
 0.9292,"Whereas thou hast searched all my stuff, what hast thou found of all thy household stuff? set it here before my brethren and thy brethren, that they may judge betwixt us both.","And Moses chose seventy of his people for Our place of meeting: when they were seized with violent quaking, he prayed: ""O my Lord! if it had been Thy will Thou couldst have destroyed, long before, both them and me: wouldst Thou destroy us for the deeds of the foolish ones among us? this is no more than Thy trial: by it Thou causest whom Thou wilt to stray, and Thou leadest whom Thou wilt into the right path. Thou art our Protector: so forgive us and give us Thy mercy; for Thou art the best of those who forgive."
 0.9094,"This twenty years have I been with thee; thy ewes and thy she goats have not cast their young, and the rams of thy flock have I not eaten.","Or thinkest thou that most of them listen or understand? They are only like cattle;- nay, they are worse astray in Path."
 0.9153,"That which was torn of beasts I brought not unto thee; I bare the loss of it; of my hand didst thou require it, whether stolen by day, or stolen by night.","""'Throw (the child) into the chest, and throw (the chest) into the river: the river will cast him up on the bank, and he will be taken up by one who is an enemy to Me and an enemy to him': But I cast (the garment of) love over thee from Me: and (this) in order that thou mayest be reared under Mine eye."
 0.9112,"Thus I was; in the day the drought consumed me, and the frost by night; and my sleep departed from mine eyes.","But they rejected him: Then the mighty Blast seized them, and they lay prostrate in their homes by the morning."
 0.9149,"Thus have I been twenty years in thy house; I served thee fourteen years for thy two daughters, and six years for thy cattle: and thou hast changed my wages ten times.","We have enjoined on man kindness to his parents: In pain did his mother bear him, and in pain did she give him birth. The carrying of the (child) to his weaning is (a period of) thirty months. At length, when he reaches the age of full strength and attains forty years, he says, ""O my Lord! Grant me that I may be grateful for Thy favour which Thou has bestowed upon me, and upon both my parents, and that I may work righteousness such as Thou mayest approve; and be gracious to me in my issue. Truly have I turned to Thee and truly do I bow (to Thee) in Islam."""
 0.9409,"Except the God of my father, the God of Abraham, and the fear of Isaac, had been with me, surely thou hadst sent me away now empty. God hath seen mine affliction and the labor of my hands, and rebuked thee yesternight.","Thus have We revealed it to be a judgment of authority in Arabic. Wert thou to follow their (vain) desires after the knowledge which hath reached thee, then wouldst thou find neither protector nor defender against Allah."
 0.9093,"And Laban answered and said unto Jacob, These daughters are my daughters, and these children are my children, and these cattle are my cattle, and all that thou seest is mine: and what can I do this day unto these my daughters, or unto their children which they have born?","""Never said I to them aught except what Thou didst command me to say, to wit, 'worship Allah, my Lord and your Lord'; and I was a witness over them whilst I dwelt amongst them; when Thou didst take me up Thou wast the Watcher over them, and Thou art a witness to all things."
 0.9196,"Now therefore come thou, let us make a covenant, I and thou; and let it be for a witness between me and thee.","One day We shall raise from all Peoples a witness against them, from amongst themselves: and We shall bring thee as a witness against these (thy people): and We have sent down to thee the Book explaining all things, a Guide, a Mercy, and Glad Tidings to Muslims."
 0.8823,"And Jacob took a stone, and set it up for a pillar.",And the mountains as pegs?
 0.9117,"And Jacob said unto his brethren, Gather stones; and they took stones, and made an heap: and they did eat there upon the heap.","Then they proceeded: until, when they came to the inhabitants of a town, they asked them for food, but they refused them hospitality. They found there a wall on the point of falling down, but he set it up straight. (Moses) said: ""If thou hadst wished, surely thou couldst have exacted some recompense for it!"""
 0.9134,And Laban called it Jegarsahadutha: but Jacob called it Galeed.,"Before them was denied (the Hereafter) by the People of Noah, the Companions of the Rass, the Thamud,"
 0.9351,"And Laban said, This heap is a witness between me and thee this day. Therefore was the name of it called Galeed;","For We will send the she-camel by way of trial for them. So watch them, (O Salih), and possess thyself in patience!"
 0.9329,"And Mizpah; for he said, The LORD watch between me and thee, when we are absent one from another.","So his Lord hearkened to him (in his prayer), and turned away from him their snare: Verily He heareth and knoweth (all things)."
 0.9392,"If thou shalt afflict my daughters, or if thou shalt take other wives beside my daughters, no man is with us; see, God is witness betwixt me and thee.","""'Nor call on any, other than Allah;- Such will neither profit thee nor hurt thee: if thou dost, behold! thou shalt certainly be of those who do wrong.'"""
 0.9223,"And Laban said to Jacob, Behold this heap, and behold this pillar, which I have cast betwixt me and thee:","Then We said: ""O Adam! verily, this is an enemy to thee and thy wife: so let him not get you both out of the Garden, so that thou art landed in misery."
 0.9153,"This heap be witness, and this pillar be witness, that I will not pass over this heap to thee, and that thou shalt not pass over this heap and this pillar unto me, for harm.","""'Throw (the child) into the chest, and throw (the chest) into the river: the river will cast him up on the bank, and he will be taken up by one who is an enemy to Me and an enemy to him': But I cast (the garment of) love over thee from Me: and (this) in order that thou mayest be reared under Mine eye."
 0.9402,"The God of Abraham, and the God of Nahor, the God of their father, judge betwixt us. And Jacob sware by the fear of his father Isaac.","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9149,"Then Jacob offered sacrifice upon the mount, and called his brethren to eat bread: and they did eat bread, and tarried all night in the mount.","In the result, they both ate of the tree, and so their nakedness appeared to them: they began to sew together, for their covering, leaves from the Garden: thus did Adam disobey his Lord, and allow himself to be seduced."
 0.8851,"And early in the morning Laban rose up, and kissed his sons and his daughters, and blessed them: and Laban departed, and returned unto his place.","And He taught Adam the names of all things; then He placed them before the angels, and said: ""Tell me the names of these if ye are right."""
 0.9071,"And Jacob went on his way, and the angels of God met him.","But his Lord chose him (for His Grace): He turned to him, and gave him Guidance."
 0.9076,"And when Jacob saw them, he said, This is God's host: and he called the name of that place Mahanaim.","""Then he brought out (of the fire) before the (people) the image of a calf: It seemed to low: so they said: This is your god, and the god of Moses, but (Moses) has forgotten!"""
 0.9122,"And Jacob sent messengers before him to Esau his brother unto the land of Seir, the country of Edom.","We did aforetime give Moses the (Book of) Guidance, and We gave the book in inheritance to the Children of Israel,-"
 0.9483,"And he commanded them, saying, Thus shall ye speak unto my lord Esau; Thy servant Jacob saith thus, I have sojourned with Laban, and stayed there until now:","But the Hoopoe tarried not far: he (came up and) said: ""I have compassed (territory) which thou hast not compassed, and I have come to thee from Saba with tidings true."
 0.9340,"And I have oxen, and asses, flocks, and menservants, and womenservants: and I have sent to tell my lord, that I may find grace in thy sight.","""O our Lord! I have made some of my offspring to dwell in a valley without cultivation, by Thy Sacred House; in order, O our Lord, that they may establish regular Prayer: so fill the hearts of some among men with love towards them, and feed them with fruits: so that they may give thanks."
 0.9226,"And the messengers returned to Jacob, saying, We came to thy brother Esau, and also he cometh to meet thee, and four hundred men with him.","So the king said: ""Bring ye him unto me."" But when the messenger came to him, (Joseph) said: ""Go thou back to thy lord, and ask him, 'What is the state of mind of the ladies who cut their hands'? For my Lord is certainly well aware of their snare."""
 0.9132,"Then Jacob was greatly afraid and distressed: and he divided the people that was with him, and the flocks, and herds, and the camels, into two bands;","And his wife was standing (there), and she laughed: But we gave her glad tidings of Isaac, and after him, of Jacob."
 0.9356,"And said, If Esau come to the one company, and smite it, then the other company which is left shall escape.","""That We might try them by that (means). But if any turns away from the remembrance of his Lord, He will cause him to undergo a severe Penalty."
 0.9331,"And Jacob said, O God of my father Abraham, and God of my father Isaac, the LORD which saidst unto me, Return unto thy country, and to thy kindred, and I will deal well with thee:","And Noah called upon his Lord, and said: ""O my Lord! surely my son is of my family! and Thy promise is true, and Thou art the justest of Judges!"""
 0.9447,"I am not worthy of the least of all the mercies, and of all the truth, which thou hast showed unto thy servant; for with my staff I passed over this Jordan; and now I am become two bands.","He said, ""O my Lord! Forgive me, and grant me a kingdom which, (it may be), suits not another after me: for Thou art the Grantor of Bounties (without measure)."
 0.9136,"Deliver me, I pray thee, from the hand of my brother, from the hand of Esau: for I fear him, lest he will come and smite me, and the mother with the children.","""'Throw (the child) into the chest, and throw (the chest) into the river: the river will cast him up on the bank, and he will be taken up by one who is an enemy to Me and an enemy to him': But I cast (the garment of) love over thee from Me: and (this) in order that thou mayest be reared under Mine eye."
 0.9493,"And thou saidst, I will surely do thee good, and make thy seed as the sand of the sea, which cannot be numbered for multitude.","A Sign for them is the earth that is dead: We do give it life, and produce grain therefrom, of which ye do eat."
 0.9231,And he lodged there that same night; and took of that which came to his hand a present for Esau his brother;,"We did, before them, try the people of Pharaoh: there came to them a messenger most honourable,"
 0.8615,"Two hundred she goats, and twenty he goats, two hundred ewes, and twenty rams,","(Take) eight (head of cattle) in (four) pairs: of sheep a pair, and of goats a pair; say, hath He forbidden the two males, or the two females, or (the young) which the wombs of the two females enclose? Tell me with knowledge if ye are truthful:"
 0.8816,"Thirty milch camels with their colts, forty kine, and ten bulls, twenty she asses, and ten foals.","When the she-camels, ten months with young, are left untended;"
 0.9196,"And he delivered them into the hand of his servants, every drove by themselves; and said unto his servants, Pass over before me, and put a space betwixt drove and drove.","And to Solomon (We made) the Wind (obedient): Its early morning (stride) was a month's (journey), and its evening (stride) was a month's (journey); and We made a Font of molten brass to flow for him; and there were Jinns that worked in front of him, by the leave of his Lord, and if any of them turned aside from our command, We made him taste of the Penalty of the Blazing Fire."
 0.9318,"And he commanded the foremost, saying, When Esau my brother meeteth thee, and asketh thee, saying, Whose art thou? and whither goest thou? and whose are these before thee?","Thus have we sent thee amongst a People before whom (long since) have (other) Peoples (gone and) passed away; in order that thou mightest rehearse unto them what We send down unto thee by inspiration; yet do they reject (Him), the Most Gracious! Say: ""He is my Lord! There is no god but He! On Him is my trust, and to Him do I turn!"""
 0.9458,"Then thou shalt say, They be thy servant Jacob's; it is a present sent unto my lord Esau: and, behold, also he is behind us.","He said: ""So (it will be): Thy Lord saith, 'that is easy for Me: and (We wish) to appoint him as a Sign unto men and a Mercy from Us': It is a matter (so) decreed."""
 0.9332,"And so commanded he the second, and the third, and all that followed the droves, saying, On this manner shall ye speak unto Esau, when ye find him.","Now when they saw no hope of his (yielding), they held a conference in private. The leader among them said: ""Know ye not that your father did take an oath from you in Allah's name, and how, before this, ye did fail in your duty with Joseph? Therefore will I not leave this land until my father permits me, or Allah commands me; and He is the best to command."
 0.9404,"And say ye moreover, Behold, thy servant Jacob is behind us. For he said, I will appease him with the present that goeth before me, and afterward I will see his face; peradventure he will accept of me.","He said, ""O my Lord! Forgive me, and grant me a kingdom which, (it may be), suits not another after me: for Thou art the Grantor of Bounties (without measure)."
 0.9153,So went the present over before him: and himself lodged that night in the company.,(He left them) as they were: We completely understood what was before him.
 0.9063,"And he rose up that night, and took his two wives, and his two womenservants, and his eleven sons, and passed over the ford Jabbok.","And Thamud, and the people of Lut, and the Companions of the Wood; - such were the Confederates."
 0.8916,"And he took them, and sent them over the brook, and sent over that he had.","And on them did Satan prove true his idea, and they followed him, all but a party that believed."
 0.9107,And Jacob was left alone; and there wrestled a man with him until the breaking of the day.,"And in the hour of early dawn, they (were found) praying for Forgiveness;"
 0.8584,"And when he saw that he prevailed not against him, he touched the hollow of his thigh; and the hollow of Jacob's thigh was out of joint, as he wrestled with him.","He said, ""Nay, throw ye first!"" Then behold their ropes and their rods-so it seemed to him on account of their magic - began to be in lively motion!"
 0.9136,"And he said, Let me go, for the day breaketh. And he said, I will not let thee go, except thou bless me.","(Iblis) said: ""O my Lord! because Thou hast put me in the wrong, I will make (wrong) fair-seeming to them on the earth, and I will put them all in the wrong,-"
 0.8573,"And he said unto him, What is thy name? And he said, Jacob.","So the king said: ""Bring ye him unto me."" But when the messenger came to him, (Joseph) said: ""Go thou back to thy lord, and ask him, 'What is the state of mind of the ladies who cut their hands'? For my Lord is certainly well aware of their snare."""
 0.9366,"And he said, Thy name shall be called no more Jacob, but Israel: for as a prince hast thou power with God and with men, and hast prevailed.","And Moses chose seventy of his people for Our place of meeting: when they were seized with violent quaking, he prayed: ""O my Lord! if it had been Thy will Thou couldst have destroyed, long before, both them and me: wouldst Thou destroy us for the deeds of the foolish ones among us? this is no more than Thy trial: by it Thou causest whom Thou wilt to stray, and Thou leadest whom Thou wilt into the right path. Thou art our Protector: so forgive us and give us Thy mercy; for Thou art the best of those who forgive."
 0.9016,"And Jacob asked him, and said, Tell me, I pray thee, thy name. And he said, Wherefore is it that thou dost ask after my name? And he blessed him there.","If thou couldst but see when they are confronted with their Lord! He will say: ""Is not this the truth?"" They will say: ""Yea, by our Lord!"" He will say: ""Taste ye then the penalty, because ye rejected Faith."""
 0.9343,"And Jacob called the name of the place Peniel: for I have seen God face to face, and my life is preserved.","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9131,"And as he passed over Penuel the sun rose upon him, and he halted upon his thigh.","Until, when he came to the rising of the sun, he found it rising on a people for whom We had provided no covering protection against the sun."
 0.9309,"Therefore the children of Israel eat not of the sinew which shrank, which is upon the hollow of the thigh, unto this day: because he touched the hollow of Jacob's thigh in the sinew that shrank.","For those who followed the Jewish Law, We forbade every (animal) with undivided hoof, and We forbade them that fat of the ox and the sheep, except what adheres to their backs or their entrails, or is mixed up with a bone: this in recompense for their wilful disobedience: for We are true (in Our ordinances)."
 0.8888,"And Jacob lifted up his eyes, and looked, and, behold, Esau came, and with him four hundred men. And he divided the children unto Leah, and unto Rachel, and unto the two handmaids.","And his wife was standing (there), and she laughed: But we gave her glad tidings of Isaac, and after him, of Jacob."
 0.9159,"And he put the handmaids and their children foremost, and Leah and her children after, and Rachel and Joseph hindermost.","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9079,"And he passed over before them, and bowed himself to the ground seven times, until he came near to his brother.","So when they had both submitted their wills (to Allah), and he had laid him prostrate on his forehead (for sacrifice),"
 0.9072,"And Esau ran to meet him, and embraced him, and fell on his neck, and kissed him: and they wept.","And his wife was standing (there), and she laughed: But we gave her glad tidings of Isaac, and after him, of Jacob."
 0.8884,"And he lifted up his eyes, and saw the women and the children; and said, Who are those with thee? And he said, The children which God hath graciously given thy servant.","So the king said: ""Bring ye him unto me."" But when the messenger came to him, (Joseph) said: ""Go thou back to thy lord, and ask him, 'What is the state of mind of the ladies who cut their hands'? For my Lord is certainly well aware of their snare."""
 0.8952,"Then the handmaidens came near, they and their children, and they bowed themselves.","So the angels prostrated themselves, all of them together:"
 0.9046,"And Leah also with her children came near, and bowed themselves: and after came Joseph near and Rachel, and they bowed themselves.","And his wife was standing (there), and she laughed: But we gave her glad tidings of Isaac, and after him, of Jacob."
 0.9258,"And he said, What meanest thou by all this drove which I met? And he said, These are to find grace in the sight of my lord.","Thus have we sent thee amongst a People before whom (long since) have (other) Peoples (gone and) passed away; in order that thou mightest rehearse unto them what We send down unto thee by inspiration; yet do they reject (Him), the Most Gracious! Say: ""He is my Lord! There is no god but He! On Him is my trust, and to Him do I turn!"""
 0.9091,"And Esau said, I have enough, my brother; keep that thou hast unto thyself.","He said: ""So (it will be) thy Lord saith, 'that is easy for Me: I did indeed create thee before, when thou hadst been nothing!'"""
 0.9433,"And Jacob said, Nay, I pray thee, if now I have found grace in thy sight, then receive my present at my hand: for therefore I have seen thy face, as though I had seen the face of God, and thou wast pleased with me.","So he smiled, amused at her speech; and he said: ""O my Lord! so order me that I may be grateful for Thy favours, which thou hast bestowed on me and on my parents, and that I may work the righteousness that will please Thee: And admit me, by Thy Grace, to the ranks of Thy righteous Servants."""
 0.9387,"Take, I pray thee, my blessing that is brought to thee; because God hath dealt graciously with me, and because I have enough. And he urged him, and he took it.","So he smiled, amused at her speech; and he said: ""O my Lord! so order me that I may be grateful for Thy favours, which thou hast bestowed on me and on my parents, and that I may work the righteousness that will please Thee: And admit me, by Thy Grace, to the ranks of Thy righteous Servants."""
